Time Done Counter ack_out a_out_2 a_out_1 a_out_0
1 0 0 1 0 0 0
24345 0 0 0 0 294914131 237115691
24347 0 0 1 0 0 0
25191 0 0 0 0 294914131 1310857515
25193 0 0 1 0 0 0
25549 0 0 0 0 294914136 2396127526
25551 0 0 1 0 0 0
26577 0 0 0 0 294914136 2557776074
26579 0 0 1 0 0 0
36001 0 0 0 0 294914393 2227441898
36003 0 0 1 0 0 0
36861 0 0 0 0 294914395 1153700074
36863 0 0 1 0 0 0
37973 0 0 0 0 294914395 1321470086
37975 0 0 1 0 0 0
38065 0 0 0 0 294914395 1321470090
38067 0 0 1 0 0 0
41575 0 0 0 0 294914402 2587959655
41577 0 0 1 0 0 0
50937 0 0 0 0 294914657 2228462728
50939 0 0 1 0 0 0
51393 0 0 0 0 294914657 2518918280
51395 0 0 1 0 0 0
52141 0 0 0 0 294914657 2530452552
52143 0 0 1 0 0 0
52377 0 0 0 0 294914657 2530452616
52379 0 0 1 0 0 0
76311 0 0 0 0 294915146 3661701447
76313 0 0 1 0 0 0
81111 0 0 0 0 294915155 1312891083
81113 0 0 1 0 0 0
90913 0 0 0 0 294915411 209785127
90915 0 0 1 0 0 0
91245 0 0 0 0 294915411 237115691
91247 0 0 1 0 0 0
97135 0 0 0 0 294930786 2588090727
97137 0 2 1 0 0 0
112183 0 2 0 0 294971739 1145250124
112185 0 4 1 0 0 0
122365 0 4 0 0 294972499 1279336809
122367 0 6 1 0 0 0
168831 0 6 0 0 294989137 247535883
168833 0 8 1 0 0 0
171625 0 8 0 0 294994507 148117863
171627 0 10 1 0 0 0
180095 0 10 0 0 294996057 80946412
180097 0 12 1 0 0 0
181259 0 12 0 0 294996073 410065257
181261 0 14 1 0 0 0
191217 0 14 0 0 294997321 411240683
191219 0 16 1 0 0 0
208843 0 16 0 0 295004513 74885382
208845 0 18 1 0 0 0
209829 0 18 0 0 295004513 444795207
209831 0 20 1 0 0 0
210377 0 20 0 0 295004513 2284233031
210379 0 22 1 0 0 0
229065 0 22 0 0 295012697 2284233031
229067 0 24 1 0 0 0
232001 0 24 0 0 295012714 2288257383
232003 0 26 1 0 0 0
244247 0 26 0 0 295020897 2523992330
244249 0 28 1 0 0 0
248169 0 28 0 0 295021385 2552372552
248171 0 30 1 0 0 0
273737 0 30 0 0 295242283 1145445675
273739 0 32 1 0 0 0
295249 0 32 0 0 295249761 80914699
295251 0 34 1 0 0 0
298139 0 34 0 0 295250705 1484928234
298141 0 36 1 0 0 0
328465 0 36 0 0 295259154 1255412071
328467 0 38 1 0 0 0
330147 0 38 0 0 295259170 1255218536
330149 0 40 1 0 0 0
330779 0 40 0 0 295259170 1512218983
330781 0 42 1 0 0 0
368971 0 42 0 0 295267649 410069161
368973 0 44 1 0 0 0
369805 0 44 0 0 295267649 1478731913
369807 0 46 1 0 0 0
383791 0 46 0 0 295274331 1146392904
383793 0 48 1 0 0 0
390859 0 48 0 0 295274843 1210329312
390861 0 48 1 0 0 0
395471 0 48 0 0 295275042 3397465321
395473 0 50 1 0 0 0
396469 0 50 0 0 295275073 81042603
396471 0 52 1 0 0 0
398735 0 52 0 0 295275075 1145347243
398737 0 54 1 0 0 0
407143 0 54 0 0 295282515 72618336
407145 0 54 1 0 0 0
407517 0 54 0 0 295282515 170009960
407519 0 56 1 0 0 0
412489 0 56 0 0 295283041 246486344
412491 0 58 1 0 0 0
468725 0 58 0 0 295512937 1411520780
468727 0 60 1 0 0 0
469159 0 60 0 0 295512937 1422006530
469161 0 62 1 0 0 0
476333 0 62 0 0 295513155 1210230987
476335 0 64 1 0 0 0
