Time Done Counter ack_out a_out_2 a_out_1 a_out_0
1 0 0 1 0 0 0
11433 0 0 0 0 294930786 2588090727
11435 0 2 1 0 0 0
30241 0 2 0 0 294971739 1145250124
30243 0 4 1 0 0 0
33509 0 4 0 0 294972000 2362450276
33511 0 4 1 0 0 0
42375 0 4 0 0 294972499 1279336809
42377 0 6 1 0 0 0
57625 0 6 0 0 294980425 2585919722
57627 0 6 1 0 0 0
95465 0 6 0 0 294989137 247535883
95467 0 8 1 0 0 0
97749 0 8 0 0 294994507 148117863
97751 0 10 1 0 0 0
107299 0 10 0 0 294996057 80946412
107301 0 12 1 0 0 0
108623 0 12 0 0 294996073 410065257
108625 0 14 1 0 0 0
120005 0 14 0 0 294997321 411240683
120007 0 16 1 0 0 0
130543 0 16 0 0 295002722 2591162630
130545 0 16 1 0 0 0
140617 0 16 0 0 295004513 74885382
140619 0 18 1 0 0 0
141731 0 18 0 0 295004513 444795207
141733 0 20 1 0 0 0
142353 0 20 0 0 295004513 2284233031
142355 0 22 1 0 0 0
155477 0 22 0 0 295012440 2295627978
155479 0 22 1 0 0 0
162861 0 22 0 0 295012697 2284233031
162863 0 24 1 0 0 0
166167 0 24 0 0 295012714 2288257383
166169 0 26 1 0 0 0
180065 0 26 0 0 295020897 2523992330
180067 0 28 1 0 0 0
184833 0 28 0 0 295021385 2552372552
184835 0 30 1 0 0 0
212819 0 30 0 0 295242259 1249247588
212821 0 30 1 0 0 0
214221 0 30 0 0 295242283 1145445675
214223 0 32 1 0 0 0
238277 0 32 0 0 295249761 80914699
238279 0 34 1 0 0 0
241547 0 34 0 0 295250705 1484928234
241549 0 36 1 0 0 0
276953 0 36 0 0 295259154 1255412071
276955 0 38 1 0 0 0
279527 0 38 0 0 295259170 1255218536
279529 0 40 1 0 0 0
280237 0 40 0 0 295259170 1512218983
280239 0 42 1 0 0 0
322393 0 42 0 0 295267649 410069161
322395 0 44 1 0 0 0
323335 0 44 0 0 295267649 1478731913
323337 0 46 1 0 0 0
326687 0 46 0 0 295267665 1145274636
326689 0 46 1 0 0 0
339751 0 46 0 0 295274331 1146392904
339753 0 48 1 0 0 0
353471 0 48 0 0 295275042 3397465321
353473 0 50 1 0 0 0
354767 0 50 0 0 295275073 81042603
354769 0 52 1 0 0 0
357341 0 52 0 0 295275075 1145347243
357343 0 54 1 0 0 0
367719 0 54 0 0 295282515 170009960
367721 0 56 1 0 0 0
372461 0 56 0 0 295283041 246486344
372463 0 58 1 0 0 0
436089 0 58 0 0 295512937 1411520780
436091 0 60 1 0 0 0
436583 0 60 0 0 295512937 1422006530
436585 0 62 1 0 0 0
444685 0 62 0 0 295513155 1210230987
444687 0 64 1 0 0 0
447971 0 64 0 0 295513362 2360516748
447973 0 66 1 0 0 0
460477 0 66 0 0 295519338 1254168843
460479 0 68 1 0 0 0
464517 0 68 0 0 295520360 2288395621
464519 0 70 1 0 0 0
468269 0 70 0 0 295521320 2523149449
468271 0 72 1 0 0 0
470733 0 72 0 0 295521322 1514217675
470735 0 74 1 0 0 0
489057 0 74 0 0 295526979 1220843845
489059 0 76 1 0 0 0
490643 0 76 0 0 295527010 1518469446
490645 0 76 1 0 0 0
498231 0 76 0 0 295528545 1512347786
498233 0 78 1 0 0 0
524883 0 78 0 0 295536657 448043333
524885 0 80 1 0 0 0
526685 0 80 0 0 295536657 1521782986
526687 0 82 1 0 0 0
528437 0 82 0 0 295536728 2288301381
528439 0 84 1 0 0 0
534285 0 84 0 0 295536745 212936873
534287 0 86 1 0 0 0
535605 0 86 0 0 295536745 1411520873
535607 0 88 1 0 0 0
539367 0 88 0 0 295537219 1447100585
539369 0 88 1 0 0 0
539631 0 88 0 0 295537219 1447100617
539633 0 88 1 0 0 0
563451 0 88 0 0 295545441 213157896
563453 0 88 1 0 0 0
573585 0 88 0 0 295545667 136488138
573587 0 90 1 0 0 0
580471 0 90 0 0 295716691 1254234473
580473 0 92 1 0 0 0
580739 0 92 0 0 295716691 1254234473
580741 0 92 1 0 0 0
595481 0 92 0 0 295718225 2522222887
595483 0 94 1 0 0 0
609563 0 94 0 0 295749907 1447269708
609565 0 96 1 0 0 0
615681 0 96 0 0 295750418 2329027820
615683 0 98 1 0 0 0
618453 0 98 0 0 295750504 2395088042
618455 0 100 1 0 0 0
619343 0 100 0 0 295750505 1480829001
619345 0 102 1 0 0 0
619623 0 102 0 0 295750505 1480829001
619625 0 102 1 0 0 0
628745 0 102 0 0 295750984 2555619467
628747 0 104 1 0 0 0
644051 0 104 0 0 295781482 1482759339
644053 0 106 1 0 0 0
650051 0 106 0 0 295782248 2328044900
650053 0 108 1 0 0 0
650765 0 108 0 0 295782250 3292734636
650767 0 110 1 0 0 0
653771 0 110 0 0 295783442 3460732198
653773 0 112 1 0 0 0
655309 0 112 0 0 295783456 2394330406
655311 0 114 1 0 0 0
656801 0 114 0 0 295783458 1255218534
656803 0 116 1 0 0 0
664937 0 116 0 0 295783714 1254168935
664939 0 118 1 0 0 0
672437 0 118 0 0 295789154 1279699111
672439 0 120 1 0 0 0
694883 0 120 0 0 295790867 1249257668
694885 0 122 1 0 0 0
